category,part,supplier,description_on_invoice,qty_or_pack,cost_eur,notes
sensor,Flow sensor,Amazon.nl,SENSTREE G1/2 Mannelijke Draad Messing Water Flow Sensor,1,16.11,Water turbine sensor used on air
sensor,Flow sensor,Amazon.nl,SENSTREE G1/2 Mannelijke Draad Messing Water Flow Sensor,1,16.11,Second unit
sensor,Pressure sensor G1/4,Amazon.nl,Druksensor G1/4 Drukomvormer Sensor Ingang 5V Uitgang 0.5-4.5V,pack,57.21,0-100 psi
sensor,Photo interrupter,Vanallesenmeer.nl,GP1A57HRJ00F Photo Interrupter,1,16.85,Measures engine output velocity
sensor,Photo interrupter breakout,Vanallesenmeer.nl,Photo Interrupter Breakout Board,1,5.85,SparkFun
sensor,Photo interrupter,Vanallesenmeer.nl,GP1A57HRJ00F Photo Interrupter,pack,49.50,Additional units
sensor,Photo interrupter set,Vanallesenmeer.nl,GP1A57HRJ00F Photo Interrupter and Breakout Board SparkFun,pack,51.30,Closing the control loop
sensor,Load cell 500 g,Amazon.nl,Gewicht Sensor Silver 500g and hx711 B0CJ93Y21V,1,18.33,Measuring engine torque indirectly
sensor,Load cell 1 kg,Amazon.nl,HALJIA Draagbare elektronische gewichtssensor laadcel weegsensor 1KG,1,7.99,First item
sensor,Load cell 1 kg,Amazon.nl,HALJIA Draagbare elektronische gewichtssensor laadcel weegsensor 1KG,1,7.99,Second item
sensor,Load cell 1 kg,Amazon.nl,HALJIA Draagbare elektronische gewichtssensor laadcel weegsensor,pack,15.98,
sensor,Load cell 100 g,Amazon.nl,0-100g zeer nauwkeurige digitale parallelle straal elektronische,1,10.60,Measuring engine torque indirectly
sensor,HX711 amplifier,Amazon.nl,ICQUANZX HX711 ADC converter breakout module digitale weegcel 1KG,1,6.99,Load cell amplifier
mechanical,Bearing 6802 2RS,Lagerkoning.nl,IBB Kogellager 6802/61802 2RS 15x24x5mm,pack,32.28,Bearing B in the Wankel
mechanical,Bearing R188,Lagerkoning.nl,IBB Miniatuur Kogellager R188 6.35x12.7x3.18mm,pack,32.28,SUPERSEDED - see R188 ZZ
mechanical,Bearing R188 ZZ,Lagerkoning.nl,IBB Miniatuur Kogellager R188 ZZ 6.35x12.7x4.76mm,pack,82.45,Bearing A - THIS IS THE ONE IN USE
mechanical,Bearing R188 ZZ,Lagerkoning.nl,IBB Miniatuur Kogellager R188 ZZ,4,11.95,Design cycle 2
mechanical,Bearing 6802-2RS,Amazon.nl,10 stuks groefkogellagers 6802-2RS 15x24x5mm,10,13.30,
mechanical,Bearing 6802-2RS,Amazon.nl,6802-2RS bearings,10,8.50,Wankel engines design cycle 2
mechanical,Flexible shaft coupling,Okaphone,OKFLEX Flexibele as Koppeling,1,24.15,Improved engine mounting
mechanical,Corner bracket,Amazon.nl,Alberts 330330 Hoekanker extra sterk met rib sendzimir verzinkt,pack,54.48,
mechanical,M5 lock nuts,Amazon.nl,Jeboler M5 moeren 100 stuks zelfborgende A2 V2A 304 DIN 985,100,12.52,
mechanical,M3 square nuts,Amazon.nl,100 stuks M3 DIN557 metrische draad vierkante moeren SS304,100,6.10,Wankel top cover
mechanical,Graphite,Amazon.nl,STAEDTLER Mars Micro Carbon 250 1.3mm HB Potlood Vullingen,pack,7.67,Apex seals and lubrication
mechanical,Graphite sticks,sostrene grenes,Graphite sticks,pack,1.24,Sealant for the Wankel
mechanical,Super glue,Amazon.nl,Orzanne 18 x secondelijm extra sterk alleslijm snellijm 100 g,18,11.99,
mechanical,Wood and screws,Hornbach,Wood screws and other materials,-,72.25,Wood planks o-rings and other items for the setup
electrical,Arduino Uno,-,Arduino UNO,1,26.50,From the TA bench BOM
electrical,Breadboard,AZDelivery,AZDelivery Mini Breadboard 400 Pin met 4 Busbars,pack,15.96,Rapid prototyping of the sensor wiring
electrical,Crimping tool,Amazon.nl,Homca SN-28B Krimptang 0.14-1 mm2 met 2030 Dupont-krimpconnectoren,1,38.99,Custom cables and connectors
electrical,Jumper wires and tape,Okaphone,PVC isolatietape Set Draadbruggen Male/Female Set soepele draadbruggen,set,16.20,Completing the setup wiring
electrical,9V clip to DC jack,Kiwi Electronics,9V Batterij clip naar 2.1mm DC plug,1,10.75,Standalone power
electrical,Cable adapter,Michele Chiapello,kabeladapter 9 V CLIP DC 2.1 JACK,1,7.48,
tooling,Magnetic bit holder,Daw21onlineshop,Magnetische bithouder 60mm lang 1/4 bit houder,1,6.65,Workshop tool
tooling,3D printer nozzles,Amazon.nl,24 pcs 0.2/0.3/0.4/0.5/0.6/0.8/1.0mm Messing MK8 3D Printer Nozzles,24,10.99,Used to regulate air flow in the turbine engine
tooling,Ultimaker limit switches,Makerpoint,Ultimaker Limit Switches,pack,50.61,Repair kit for the Ultimaker printers
misc,Magnets,Supermagnete.nl,Supermagneten used as payloads for the compressed-air engines,pack,33.20,Part of the load for the experimental setup
misc,Hardware bundle,Amazon.nl,Several hardware for the compressed air engines,-,466.98,Combined invoice
